EmployeeID,FirstName,LastName,Gender,DateOfBirth,HireDate,DepartmentID,PositionID,Salary,PerformanceScore,Email,PhoneNumber,ManagerID,EmploymentType,Location
281640af-0757-4999-9df2-d73b80caf301,Joseph,Freeman,Female,1967-03-20,2018-05-30,8,9,50732,5,washingtondanny@example.org,209-212-4236x1962,392ea972-8d36-42d6-916d-046929331c95,Full-Time,Canada
5f994cb8-04c0-427c-821d-4f8b87de9a09,Gerald,King,Female,1994-04-02,2024-08-25,1,4,77204,2,jenkinsandrew@example.com,568-989-4907x53520,7f1ef4b3-f8d0-400d-9b8e-7f9a40039bf8,Contract,India
d38be133-c56e-4eb2-be4d-a9174f8a1379,Jennifer,Coleman,Other,1972-03-17,2018-11-15,2,5,75597,3,dthomas@example.net,686-708-9098,c046b374-015e-4f1d-b7c5-3e80753a859c,Contract,India
82a27184-2259-4fe9-8ccd-fd92f323ca8d,Kevin,White,Male,1988-04-14,2015-07-09,10,14,58717,1,smithrobin@example.net,(294)477-3543x837,,Full-Time,Australia
a28367b6-282b-42a6-818f-059a1e7d3ecc,Victoria,Harper,Female,1974-04-07,2019-10-26,6,11,52288,7,cherylglover@example.org,826-892-1764,ed61a86f-4925-4120-b121-485c2447c6fa,Full-Time,Canada
d56fae10-ea35-401d-974d-fd82c71c44c6,Nicole,Martin,Female,1984-07-08,2015-04-28,7,17,110368,10,brittany63@example.com,(279)536-8806x907,6ce6e652-b37e-4417-b4c0-95b2257406a9,Part-Time,Canada
b39bf432-57e7-42bb-ba82-911631355022,Regina,Perez,Female,1972-10-26,2015-07-07,6,7,86051,3,ashley45@example.com,769.606.7690x63601,6f9e68e8-8083-4cd0-b2a3-0de5b26e3709,Full-Time,India
7feda354-2c4b-4dd5-b0fc-c8771027643d,Christopher,Spencer,Female,1979-03-08,2017-03-23,10,14,78506,4,imurphy@example.net,599-369-9182,d64519b0-2102-43be-a84d-11b4c682508f,Part-Time,USA
f96590c7-9584-47d5-bfdf-8700e258aa13,Jennifer,Villegas,Male,1989-07-16,2017-10-19,10,15,112663,2,cindyfigueroa@example.com,001-246-930-3118,c8fb3580-f509-478a-ade8-f5c3047d78aa,Part-Time,Australia
ee654bc8-9449-48e9-91c8-e69091301e90,Brandon,Jenkins,Other,1977-03-28,2019-06-09,10,1,111207,9,joseph06@example.com,(978)343-1297,5d6c9fe7-f42d-4c4c-ac4a-8ec69372168a,Part-Time,India
5845a011-80fe-4b06-a4d4-708473246828,Christopher,Lane,Male,1998-08-15,2018-07-02,3,1,76636,1,mindy26@example.org,001-587-926-3624x90501,80ab15bc-f567-4206-b8bb-5efc8a26f4df,Full-Time,Canada
c97de832-f74c-4e9c-8e22-97510fb03393,Alexandria,Ramos,Other,1969-03-31,2015-06-16,10,12,76484,8,ashley32@example.net,304-478-8925x9946,483bfee5-a31f-4d1f-b082-d7b744e9b74d,Full-Time,India
688a50a3-88ff-4e2c-98a8-edad450f9540,Mary,Norman,Female,1996-10-28,2018-12-15,4,17,69500,8,justin12@example.com,(629)377-6986x271,,Full-Time,Canada
fed58c79-fe08-415d-b3e6-ac10d9b8cc50,Joseph,Davis,Other,1974-05-24,2022-07-16,5,16,52462,3,bergian@example.com,4016063796,b1ae75c3-5180-409d-a6a5-7a1e3856a379,Full-Time,India
b217c137-3775-4043-b498-10ada48d485d,Michael,Day,Male,1966-03-25,2016-11-25,2,5,91408,10,fellis@example.net,892-575-5535,e8acf92a-4121-41fa-8ae1-7717a8c139fc,Full-Time,India
5c42e8c6-b3c7-47e5-895a-842529dc82ee,Sarah,Olsen,Female,1969-04-29,2024-12-12,5,13,92721,7,nancytaylor@example.net,001-947-689-5411x8355,e0e432ff-caf1-4bce-a7e0-9e29a59e3383,Contract,Australia
a2a2b574-5728-42aa-9ed6-e9ce7bb94c9a,Jimmy,Reynolds,Male,1972-10-06,2019-04-25,6,19,94377,4,sarahdoyle@example.com,545-707-8027x805,d65c7d52-8d21-4f28-92b2-52f0ce829abb,Part-Time,India
e62fa82b-5f48-4255-8570-d0b9c7c3f0ac,Molly,Green,Other,1967-07-07,2017-04-16,4,13,108193,9,jennifercunningham@example.org,+1-948-923-9292x72349,,Contract,Australia
b44e3b68-239d-4dc6-bdb4-b262412614f1,Shawn,Dickson,Other,1975-11-17,2020-09-09,1,15,117049,1,yhall@example.com,9788870735,61de401c-4bcd-4f4d-ab71-6e774c1215bd,Contract,Australia
2ab82673-c5b7-4480-97de-df479d5d0b63,Erin,White,Male,1977-06-20,2023-03-14,1,2,51196,10,nicole06@example.org,(918)609-3496x5734,9aecd647-3faa-40e0-9be8-d03bc768fa95,Contract,USA
a4509072-9af8-46be-b21e-78583b3bb956,Sheila,Lewis,Female,1992-02-08,2021-11-07,8,17,89940,10,kayla31@example.com,550-282-7421x97714,,Contract,Canada
a16eb339-8468-4ad0-940c-eb120d80e23d,Erin,Rogers,Other,2002-04-05,2015-09-11,8,13,114151,1,matamichael@example.net,(468)919-2961,21601df0-b0b8-4e3f-9ebd-b515698dc38e,Full-Time,Australia
155dd9ac-d3f9-42d0-a23d-76c700d950db,Natasha,Norton,Male,1994-09-25,2018-10-04,2,12,74856,2,vriley@example.org,640.528.9807x88928,e0a08f1e-19f9-4f84-b623-a62f697d7db9,Full-Time,Australia
402a8066-39ee-4420-a3b0-306e0dea7f2a,Linda,Ferguson,Female,1997-07-15,2024-08-07,4,1,93251,6,karensmith@example.com,7756014355,fccb4960-4c23-4588-bc8a-37a932aa63cd,Contract,Australia
8b6c4489-b783-4fa2-85fc-0574a05bc406,Mary,Bennett,Other,2002-10-29,2023-12-07,10,14,119682,10,bbond@example.net,250.491.3979,c38c8bda-9a14-4a0f-9fee-2b4b31f68774,Contract,India
5f4c5c64-b40e-486b-8775-3b2164dce01e,Amanda,Martinez,Other,1976-09-05,2021-09-18,4,3,41457,3,hensleyderrick@example.org,+1-455-581-2887x32738,14d13fb6-dce9-4a36-bf5b-ddd7636acddb,Part-Time,USA
b69486c8-97ec-46ee-a652-3b36714f7e36,Andrea,Brown,Other,1988-10-07,2023-08-01,9,5,114075,6,kmccormick@example.com,+1-678-427-7772x87344,1513104c-a843-4893-8f0c-80181841ca9d,Contract,Canada
4468b8a1-8aa9-4226-85d4-a3553211e76f,Curtis,Ross,Female,1999-09-01,2015-05-17,4,1,67370,2,mckinneybryan@example.net,500.537.8909,f4ad94f9-972e-4ea9-b3fd-e6913a93f728,Contract,Canada
b95be3ed-d431-4159-be68-96aba31d743a,Aaron,Bailey,Female,1964-12-29,2024-11-10,1,20,93975,9,mmartin@example.net,960.392.3478x591,4b56dd58-3bc0-4d42-95f0-2751944cc8c8,Part-Time,India
bcdc1004-74c7-47d1-b6e6-79946c8e116f,Bobby,Sherman,Other,1971-11-23,2018-11-13,9,9,75589,5,greenjeff@example.org,975.433.6596,,Part-Time,Australia
c25db872-b9e2-4fe3-afc1-9e16f89f2e31,Robert,Reilly,Male,1967-06-27,2023-05-06,8,18,77074,4,michellemiller@example.com,+1-290-295-2344x931,fa7c7e4f-9d57-429c-87f4-94e87aa70d44,Full-Time,Canada
d1e8eec4-01ef-418a-8fa8-cc080207a5a8,Jon,Gomez,Other,1968-01-11,2022-11-09,8,4,50596,10,rachelsmith@example.com,4338313365,09f7d350-c277-492c-a84c-173b5588d283,Part-Time,Australia
7e75d156-10a2-4a23-9f78-d6e91011e8b1,David,Martinez,Male,1995-01-30,2023-09-19,9,11,58491,7,kevinhunt@example.com,(889)681-8175x33838,a037e9ed-8901-4410-a21e-6c29ae2391a1,Contract,Canada
